Lat,Long,Name,Color
33.754246,-84.391308, Five Points Station,Red
33.754246,-84.391308, Five Points Station,Gold
33.754246,-84.391308, Five Points Station,Green
33.75228,-84.468126, Hamilton E. Holmes Station,Blue
33.760097,-84.38766, Peachtree Center Station,Red
33.760097,-84.38766, Peachtree Center Station,Gold
33.765698,-84.387574, Civic Center Station,Red
33.765698,-84.387574, Civic Center Station,Gold
33.771728,-84.38693, North Avenue Station,Red
33.771728,-84.38693, North Avenue Station,Gold
33.781181,-84.386716, Midtown Station,Red
33.781181,-84.386716, Midtown Station,Gold
33.788921,-84.387145, Arts Center Station,Red
33.788921,-84.387145, Arts Center Station,Gold
33.823938,-84.369335, Lindbergh Center Station,Red
33.823938,-84.369335, Lindbergh Center Station,Gold
33.845469,-84.358006, Lenox Station,Gold
33.847251,-84.367962, Buckhead Station,Red
33.912238,-84.352512, Medical Center Station,Red
33.945318,-84.35689, North Springs Station,Red
33.931682,-84.350667, Sandy Springs Station,Red
33.921711,-84.344873, Dunwoody Station,Red
33.888337,-84.306078, Chamblee Station,Gold
33.860456,-84.339402, Brookhaven Station,Gold
33.902889,-84.279814, Doraville Station,Gold
33.757528,-84.353371, Inman Park/Reynoldstown Station,Green
33.75053,-84.446754, West Lake Station,Blue
33.762309,-84.340539, Candler Park Station,Green
33.75421,-84.417057, Ashby Station,Blue
33.749964,-84.376116, King Memorial Station,Green
33.756565,-84.403839, Vine City Station,Blue
33.753887,-84.397702, Omni Dome Station,Blue
33.752246,-84.391308, Five Points Station,Blue
33.747964,-84.376116, King Memorial Station,Blue
33.755528,-84.353371, Inman Park/Reynoldstown Station,Blue
33.760309,-84.340539, Candler Park Station,Blue
33.756208,-84.417057, Ashby Station,Green
33.763163,-84.312859, East Lake Station,Blue
33.756565,-84.403839, Vine City Station,Green
33.772082,-84.295821, Decatur Station,Blue
33.755887,-84.397702, Omni Dome Station,Green
33.773901,-84.281101, Avondale Station,Blue
33.748751,-84.395943, Garnett Station,Red
33.748751,-84.395943, Garnett Station,Gold
33.736475,-84.413152, West End Station,Red
33.736475,-84.413152, West End Station,Gold
33.717629,-84.424739, Oakland City Station,Red
33.717629,-84.424739, Oakland City Station,Gold
33.700422,-84.428687, Lakewood Station,Red
33.700422,-84.428687, Lakewood Station,Gold
33.676854,-84.440274, East Point Station,Red
33.676854,-84.440274, East Point Station,Gold
33.650279,-84.447699, College Park Station,Red
33.650279,-84.447699, College Park Station,Gold
33.640097,-84.446368, Airport Station,Red
33.640097,-84.446368, Airport Station,Gold
33.77037,-84.252176, Kensington Station,Blue
33.767195,-84.228659, Indian Creek Station,Blue
33.77212,-84.428258, Bankhead Station,Green
